att_prob= [0.21280237006399999, 0.78719762993599995]
att_count= [14797L, 54737L]
id: 5 	ans: 1 	result: True 	สวัสดีครับ วันนี้ผมมีความสุขมากเลย
id: 24 	ans: 1 	result: True 	ปีใหม่ไทยมาเยือนอีกครั้งหนึ่ง ขอพรซึ่งคุณพระศรีนำความหวัง นำคนไทยพ้นมืดจากพวังค์ พ้นข้ามฝั่งฝ่าวิกฤติร้ายกลับดี #redtweet #Welovethai
id: 25 	ans: 1 	result: False 	ถ้าพี่ขี่ชอปเปอร์แล้วมาเร่งสุดมือในย่านชุมชน ผมว่าสมองพี่ก็ไม่ต่างอะไรกับไอ้เด็กแว๊นแต่งท่อกากๆ ...แค่พี่มีเงินมากกว่ามันหน่อยนึง
id: 26 	ans: -1 	result: True 	น้องผมกลับมาทำการบ้าน เปิดคอม เข้ากูเกิล ก๊อกๆแก๊กๆ เสร็จละ!  โห...สมัยพี่มันนะ นู้น ต้องไปห้องสมุด แล้วบ้านอยู่ห่างตัวเมือง 20 กิโล ...แม่ง
id: 27 	ans: -1 	result: True 	เรียนตามตรง นาทีนี้ หิวเยี่ยงปอบลง
id: 28 	ans: -1 	result: True 	เซ็งมาก ตอนนี้อยู่บริษัทเพื่อน เมื่อคืนรถผมร่วงกลางถนนตอนตีสี่ เข็นมาเองอีกหลายกิโล แล้วก็นอนข้างถนนยันเช้า ;_;
id: 29 	ans: 1 	result: True 	@buumoon โอ้ววว น่าร๊ากกกก ขอบคุณครับ
id: 30 	ans: -1 	result: True 	ธีมใหม่บล็อคเสร็จไม่ทันคืนนี้แน่นอน T-T โดนโทรจิกยิกๆแล้ว ฮือ
id: 31 	ans: 1 	result: True 	@bioice ผมสิต้องขอบคุณที่ให้พื้นที่มาใช้ฟรีน่อท่าน อันนี้ถือว่าผมพลาดเองที่ไม่ได้ backup ไว้ ยังไงผมก็ต้องขอบคุณท่านกับท่านเซิ่นน่อครับ :-)
id: 32 	ans: -1 	result: True 	ยามมันขึ้น Not Responding แล้วหงุดหงิด เมาส์สะกิดมันก็ปิด Stopped working บอกตามตรงฉันละเหนี่อยกับแกจริง เจออีกปิ๊งกูจะวิ่งไปกด Shutdown เอย
id: 33 	ans: 1 	result: True 	@1numai ยินดีที่ได้รู้จักเช่นกันครับ
id: 34 	ans: 1 	result: False 	เจอเพื่อนน้องชาย เกรียนล้วนๆ 3 คน มันสบตาแต่ไม่ยกมือไหว้เราซักคน 1) เราไม่น่าเคารพ หรือ 2) เด็กรุ่นใหม่เค้ายกเลิกวัฒนธรรมไหว้ผู้ใหญ่กันแล้ว?
id: 35 	ans: 1 	result: True 	ชวนเพื่อนๆมาร่วมฉลองโฉมใหม่ของเวบไซต์วัตสันรับปี 2011 ลุ้นรับ iPad WIFI 3G หรือ ผลิตภัณฑ์ตราวัตสันทุกวัน http://bit.ly/dZjWNL
id: 36 	ans: -1 	result: True 	@jarpichit เฮ้ย โดนแบนจริงดิจ่า เฮ้ย เล่นกันถึงขนาดนั้นเลยเหรอ!!?
id: 37 	ans: -1 	result: False 	เผยโฉมแล้ว NGP หรือ PlayStation Portable 2 กลางงาน PlayStation Meeting 2011 http://t.co/2sfV1i8 // ระบบ LiveArea น่าสนใจมาก
id: 38 	ans: 1 	result: True 	@kobcrazy T-T โลกนี้ก็ยังไม่สิ้นไร้คนน้ำใจงาม (สม่ำเสมอ) ล่ะน่อ...
id: 39 	ans: 1 	result: True 	@Funtland น่ารักคนละอารมณ์นะ เรื่องนี้มันแบบ...น่ารักสุดๆจริงๆ ให้ดิ้นตายสิ
id: 41 	ans: 1 	result: True 	รักที่รักที่สุดในโลก จริงๆนะ รัก รัก รัก ๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ
id: 43 	ans: 1 	result: True 	@Nateukihae โหลๆๆๆ รัก Super Junior เช่นกานนนจ๊า
id: 44 	ans: -1 	result: True 	@kangkii รัก แม่งเหนื่อยกว่ารบอีก
id: 45 	ans: -1 	result: True 	ทั้งหมดนั้นโกหกหมดเลยเหรอ ? รัก คิดถึง เป็นห่วง คนเราฝืนใจทำเรื่องแบบนี้ได้ด้วยเหรอ
id: 46 	ans: 1 	result: True 	รัก วรเวช มากมาย  เป็นกำลังใจให้เฮีย ป๋าเก่งสุดยอด
id: 47 	ans: 1 	result: True 	สุขสันต์วันเกิดนะพี่คุณ
id: 48 	ans: 1 	result: True 	ว้าวๆ ได้ซะที การบินไทย รัก(นิช)คุณ เท่าฟ้า  #HBDNICHKHUN
id: 49 	ans: 1 	result: True 	อย่างฮาเลย .. โน๊ตอุดม รัก ณ สยาม :: http://youtu.be/yOhHVR6JkzI
id: 50 	ans: -1 	result: True 	ก็เป็นแค่ คนธรรมดา ๆ คน นึง รัก โลภ โกรธ หลง หน้ามืดตามัว วีนแตกได้ ถ้าแยกแยะได้ ไม่ยึดติดได้ขนาดนั้น กูจะไปบวช
id: 51 	ans: -1 	result: True 	ทำไมทำอะไรก็ไม่ดีไปหมดว้ะ? เรียน เพื่อน รัก กูมันแย่เองใช่ไหม?
id: 52 	ans: 1 	result: True 	รัก Google Maps จริงๆเลย..
id: 53 	ans: -1 	result: True 	ทำไมต้องทำร้ายคนทีเธอบอกว่ารัก
id: 54 	ans: 1 	result: True 	RT @sugree: รัก git
id: 55 	ans: -1 	result: False 	ถูกใจ Samsung ตรงราคา Tab Wi-Fi มากๆ
id: 56 	ans: -1 	result: False 	Samsung Galaxy 551 : 5,990 บาท โอ้โหเหะ ราคาเบาๆเลยนะเนี่ย ^^
id: 57 	ans: 1 	result: True 	เป็นกำลังให้ ญี่ปุ่น ค่ะ ขอให้ผ่านเหตุการณ์นี้ไปด้วยดี
id: 58 	ans: 1 	result: True 	งานของน้องฝึกงานทั้ง2คนถือว่า รับได้ ผ่าน อนาคตไปได้อีกไกล ดีใจด้วยมากๆครับ
id: 59 	ans: 1 	result: True 	วันนี้ อากาศ ดี๊ ดี ^^'
id: 60 	ans: 1 	result: True 	11 9 01 + 11 3 11 = 22 12 12 ? ใครนะช่างคิดเอามารวมกัน อันแรกมันฝีมือมนุษย์เองตะหากเล่า"//สุดยอด!
id: 61 	ans: 1 	result: True 	สุดยอด แมนยู ชนะ 2-1
id: 62 	ans: 1 	result: True 	@YINGjingy @Katai_Hyungsik @mini2mintt เรามาทำป้ายผ้าเจอาร์กัน แบบ ทำ ชื่อเมนแต่ละคน แต่เป็นผ้าแบบเดียวกันสีเดียวกัน เก๋ดีออก
id: 63 	ans: 1 	result: True 	ทำ Live Update Galaxy S เป็น Gingerbread อีกรอบดีมั้ยนะ ดูเหมือนคนจะสนใจเยอะ
id: 64 	ans: 1 	result: True 	@POoh_pop 55พรุ่งนี้พี่ไปช่วยพวกพี่ทีมาจาก มช. ทำ"ฮักหนา"เป็นละครเวทีจ๊ะ ต้องสนุกแน่ๆเลย 55555
id: 65 	ans: 1 	result: True 	เย้. ดิ้นๆๆๆๆๆ รพ.พระนั่งเกล้า รับ wifiของกทม. ได้ เย้ๆๆๆๆๆๆๆ
id: 66 	ans: -1 	result: False 	เกรดวิชาอื่นได้เท่าไหร่ไม่สน แต่ที่ดีใจคือ ได้ Wage & Salary A ไม่เสียแรงที่ตื่นเช้าไปเรียนทุกวัน ^^
id: 67 	ans: -1 	result: True 	นี่เป็นสัปดาห์แห่งการซ่อมแท้ๆ ซวยจริง.. วันก่อน Kindle เสีย (Amazon ส่งเครื่องใหม่ถึงบ้าน!) ส่วนวันนี้เอา HTC Legend กะ iPad ไปส่งฟอร์จูนอีก
id: 68 	ans: -1 	result: True 	ลืมเอากระเป๋าตังค์ออกมา!..? หยิบสมุดบัญชีผิดเล่ม!..? ตู้ ATM เสีย!..? ธนาคารปิด!..? พรุ่งนี้จะยางแตก รถระเบิด ถนนขาด หมาตาย เชี่ยไรอีกคะ!?
id: 69 	ans: -1 	result: True 	การที่ประเทศนี้มีบ่อนผิดกฎหมายเยอะแยะ//ยุคทองของโจรและมาเฟีย หวย บ่อน ซ่อง อบายมุขทุกชนิดเปิดแบบไม่เกรงใจปชช. ยุคทองของมาเฟีย
id: 70 	ans: -1 	result: True 	นั่นซิจะเปิด Fan Page มาทำไม ถ้าจะแค่ทำเพื่อ promote สินค้า กับ update ข่าวที่หาได้จาก internet ทั่วไป
id: 71 	ans: 1 	result: False 	"ฝนตก" บวก "นอนน้อย" มีค่าเท่ากับ "ขี้เกียจ"
id: 72 	ans: 1 	result: False 	ประเทศไทย ภูมิศาสตร์ ดี ... แต่ผู้มีอำนาจ แทบทุกระดับ ไม่ดี
id: 73 	ans: -1 	result: True 	เบื่อ พวก งี่เง่า รังเกียจ พวก ไร้ สมอง ดี แต่ ด่าว่า คนอื่น ไป วันๆ
id: 74 	ans: -1 	result: True 	การเมืองไทยเป็นสิ่งที่เน่าจนไม่สามารถไปยุ่งเกี่ยวได้เลยใช่ไหม ทำ ad อะไรที่เกี่ยวการเมืองนิดนึง...เป็นโดนสอย
id: 75 	ans: -1 	result: True 	ทำ mac ค้าง ไปหลายรอบล่ะเหอๆ
id: 76 	ans: -1 	result: True 	Android Market แม่มกากจริงอะไรจริง
id: 77 	ans: -1 	result: False 	เพื่อพี่นุ่นเลย 55 ถ้าสอบติดจะมากราบพี่นุ่นงามๆ ทางทวิตสัก สาม ที 55555 | 55555 ติดแน่ ชัวร์ !!!! เพี้ยง -/\-"
id: 78 	ans: 1 	result: True 	@Dyuuii อืมๆๆๆ มาสด้า สาม เดือนว่า อัลติสก็ดี ซีวิกก้อโอเค ถ้าใช้ครเดียวซีวิกก็ดีนะ น่ารักดี
id: 81 	ans: 1 	result: True 	ANDROID ทำให้ ผู้บริโภคมีทางเลือก
id: 82 	ans: -1 	result: False 	อยากได้ ฮอนด้า'บริโอ้' เพราะหมากเป็นพรีเซ็นเตอร์ ... (เห้ย! ช่วงนี้อาการหนักนะเราเนี่ย...)
id: 83 	ans: 1 	result: True 	ผัก ผลไม้สีม่วง.....มีส่วนช่วยให้ความจำดี!!!
id: 84 	ans: 1 	result: True 	เมื่อวานดูรายการทีวี มีฝรั่งมาออกรายการ เค้ามีดีกรีด๊อกเตอร์เป็น อ.สอนมหาวิทยาลัย พี่แกทำงาน 4 เดือน เที่ยว 8 เดือน เข้าท่าดีแฮะ
id: 85 	ans: 1 	result: True 	เที่ยว คลายเครียด ดีกว่าเนอะ
id: 86 	ans: 1 	result: True 	ได้เวลา อาบน้ำ ฮ่าๆๆๆ พ่อออกไปข้างนอกละ ทีวี เสร็จช้านนนนน
id: 87 	ans: 1 	result: False 	ผลกระทบที่นิ่มโดนจากแผ่นดินไหวและซึนามิคือ ของสด ผัก ผลไม้ราคาแพงขึ้น และอาหารทะเลสดขาดตลาด ...
id: 88 	ans: -1 	result: True 	มันน่ากลัวจริงๆนะ คิดสภาพถ้าคุณเปิดเครื่องใช้ไฟฟ้าพร้อมๆกัน: แอร์, ทีวี, คอม และ ไฟ... แล้วฟ้าร้องฟ้าผ่าดัง "เปรี้ยง"!
id: 89 	ans: -1 	result: True 	เซ็งกล้อง #WoodyTalk ทีวี บ้านผม เป็น 4:3 อ่ะ หน้าบีบบบบบมากกก - -"
id: 91 	ans: -1 	result: True 	วันนี้กระเป๋าหนักมาก เท็กวิชาโพลิติก นิยาย แฟ้ม สมุดเลคเชอร์ กล่องดินสอ กระเป๋าไอพอต สายชาร์ต แท่นชาร์ต ลิปกลอส กระจก กระเป๋าตัง ฯลฯ
id: 92 	ans: -1 	result: True 	กินอะไรก็หกก็เลอะ วันนี้ต้องรีบกลับบ้านไปอาบน้ำ เพราะกินทูน่าหกใส่กระโปรง กระเป๋า เก้าอี้ เสื้อคลุม = =
id: 93 	ans: 1 	result: True 	ปริมาณสาร โอ้วเย้ ง่าย
id: 94 	ans: 1 	result: True 	@Cake_NBC: ก้ม หน้า อัน เก๋ เก๋ ของ เรา ทำ งาน สุจริต ต่อ ไป อย่า ได้ แคร์ หวย | จิงที่สุดค่ะ 5555
id: 95 	ans: 1 	result: True 	@NATsakdatorn หล่อมากกก ขอบคุณวู้ดดี้ @Woodytalk รายการ "เช้าดูวู๊ดดี้" นะคะ ช่วงสัมภาษณ์คุยกันสนุกมากๆ ช่วงชิมอาหารก็น่าทานจริงๆค่ะ ไปอีกนะ
id: 96 	ans: 1 	result: True 	ดนตรี ศิลปะ กีฬา 3 สิ่งนี้ ถ้าใครมี+เก่ง หรือเป็นสักอย่าง..จากตาหน้าขี้เหร่ จะดูดีมีเสน่ห์ขึ้นมาทันที :)
id: 97 	ans: 1 	result: True 	เมื่อวานตีปังย่าใน Wii สนุกดี ไว้เล่นเก็บชุดสวยๆดีกว่า
id: 98 	ans: 1 	result: True 	ชั้นอยากจะเห็นเธอทุกวัน เช้า สาย บ่าย ค่ำ ^___ ^
id: 99 	ans: -1 	result: False 	หยุด.....และ ทำธุระปะปังเสร็จหมดแล้ว ไปยื่นภาษีมาที่สรรพากร ไม่รู้เค้าคิดผิดป่าว...แต่ได้คืนแปดพันกว่าบาท....ได้ค่าบัตรคอนแล้วเว้ยยยยยยย555+
id: 100 	ans: 1 	result: True 	วันนี้ไปเตรียม(สุดท้าย)>< ป้าขายน้ำทำให้อยากสอบได้55555555
id: 101 	ans: -1 	result: True 	Wii เป็นเครื่องเกมที่ซื้อมาแล้วเล่นไม่คุ้มที่สุด #Fuck you Capcom :: ยืมมาเล่นยังรู้สึกเสียดายตังแทนเจ้าของเครื่อง
id: 102 	ans: -1 	result: True 	@clozed2u ภาษาราชการที่เขียนมาวกวนเพื่ออะไร จะได้แถๆ ได้ในสภาตอนโดนจับได้หรือไง แล้วคิดถึงเด็ก ครู หรือร้านหนังสือบ้างไหม
id: 103 	ans: 1 	result: False 	นิยามสามคำสำหรับตอนนี้กันสิครับ >> แม่ง อัด อั้น!
id: 104 	ans: -1 	result: True 	เซ็งจิต อุตสาห์ แบก กล้อง ฝ่่านละอองฝน ไปถ่ายนกหน้าบ้าน แม่มเอ้ย ใกล้ไป โฟกัสไม่ติด ถอยอีกก็ไม่มี มุม T-T
id: 105 	ans: -1 	result: True 	ถ้ารถเมล์ขสมก.สาย 76 ที่จะไปสุรศักดิ์จะกวนตีนแบบนี้ เมิงอย่าเป็นเลยเหอะ กรูเอาเงินให้เมิงนะ เมิงทำงานบริการประชาชนนะเว้ย
id: 106 	ans: -1 	result: True 	ขอทำงานได้ไหม เหนื่อยจะแย่แล้ว หยุดเอาเรื่องเวรๆ ทั้งหลายยัดใส่เราเสียที แค่นี้เรายังเจ็บไม่พอใช่ไหม? จะทำงานๆๆๆๆ หยุด!!
id: 107 	ans: -1 	result: True 	มะกี๊ bts หยุด ไฟดับ เค้ากัว
id: 108 	ans: -1 	result: True 	เจ็บตรงที่เธอแกล้งทำเป็นรัก,แกล้งทำเป็นมีเยื่อใย,สุดท้าย,ก็ทิ้งฉันไปมีคนใหม่.
id: 109 	ans: 1 	result: True 	ยอด pre order เกม Disaster Report 4 ที่ Amazon Japan อยู่ๆกระโดดจากอันดับ 86 มาเป็นอันดับ 10 ใน 2 วัน = ="""
id: 110 	ans: 1 	result: True 	"รุ่งโรจน์ ร่วงโรย ราช ริเริ่ม รัฐ ราษฎร์ ร่วม รู้ รัก สามัคคี เพื่อประโยชน์สุขของชาวลุ่มน้ำปากพนัง" #rdpbcamp
percentage= 82.0 %
false in negative case = 11 cases
false in positive case = 7 cases
finish
